2026-09-08 11:24:35,858 | DEBUG    | evaluation.threshold_engine | No threshold configured for metric 'sap.sm66.process_rows' (key='sap.sm66.process_rows') -- leaving UNKNOWN.
2026-09-08 11:24:35,858 | DEBUG    | evaluation.threshold_engine | No threshold configured for metric 'sap.sm66.running_processes' (key='sap.sm66.running_processes') -- leaving UNKNOWN.
2026-09-08 11:24:35,859 | DEBUG    | evaluation.threshold_engine | No threshold configured for metric 'sap.smq1.queues' (key='sap.smq1.queues') -- leaving UNKNOWN.
2026-09-08 11:24:35,860 | DEBUG    | evaluation.threshold_engine | No threshold configured for metric 'sap.smq2.queues' (key='sap.smq2.queues') -- leaving UNKNOWN.
2026-09-08 11:24:35,861 | DEBUG    | evaluation.threshold_engine | No threshold configured for metric 'sap.sp01.spool_count' (key='sap.sp01.spool_count') -- leaving UNKNOWN.
2026-09-08 11:24:35,879 | WARNING  | core.event_engine | New WARNING event EVT-02D1183A49: SARLOHA QAS/sap.st03.top_report_db_ms=110089 ms
2026-09-08 11:41:50,118 | INFO     | core.orchestrator | No SSH access configured for PRD -- skipping Linux/OS-level metrics (SAP GUI evidence only).
2026-09-08 11:41:50,178 | INFO     | core.orchestrator | [PRD] RFC collector: 17 metrics added.
2026-09-08 11:41:51,302 | INFO     | core.orchestrator | [PRD] RFC perf collector: 9 metrics added.
2026-09-08 11:41:51,303 | INFO     | core.orchestrator | Monitoring cycle complete for PRD/100: overall=CRITICAL, metrics=26, errors=0
2026-09-08 16:49:09,928 | INFO     | core.orchestrator | No SSH access configured for SARLOHA QAS -- skipping Linux/OS-level metrics (SAP GUI evidence only).
2026-09-08 16:49:10,240 | INFO     | core.orchestrator | [SARLOHA QAS] RFC collector: 6 metrics added.
2026-09-08 16:49:21,698 | INFO     | core.orchestrator | [SARLOHA QAS] RFC perf collector: 9 metrics added.
2026-09-08 16:49:21,869 | INFO     | core.orchestrator | Monitoring cycle complete for SARLOHA QAS/500: overall=NORMAL, metrics=15, errors=0
2026-09-08 16:49:22,813 | INFO     | core.event_engine | Resolved event EVT-B4A4B9D3E2: SARLOHA QAS/sap.st03.dialog_resp_ms
2026-09-08 16:49:22,988 | INFO     | core.event_engine | Resolved event EVT-7857CBF4F4: SARLOHA QAS/sap.st03.max_instance_resp_ms
2026-09-08 16:52:05,654 | INFO     | core.orchestrator | No SSH access configured for SARLOHA QAS -- skipping Linux/OS-level metrics (SAP GUI evidence only).
2026-09-08 16:52:05,903 | INFO     | core.orchestrator | [SARLOHA QAS] RFC collector: 6 metrics added.
2026-09-08 16:53:39,170 | INFO     | core.orchestrator | [SARLOHA QAS] RFC perf collector: 6 metrics added.
2026-09-08 16:53:39,248 | INFO     | core.orchestrator | Monitoring cycle complete for SARLOHA QAS/500: overall=NORMAL, metrics=12, errors=0
2026-09-08 22:14:41,888 | INFO     | core.orchestrator | No SSH access configured for PRD -- skipping Linux/OS-level metrics (SAP GUI evidence only).
2026-09-08 22:15:02,983 | WARNING  | core.orchestrator | [PRD] RFC collector: 1 (rc=1): key=RFC_COMMUNICATION_FAILURE, message=
LOCATION    CPIC (TCP/IP) on local host with Unicode
ERROR       partner '10.1.0.193:3300' not reached
TIME        Tue Sep  8 22:15:02 2026
RELEASE     753
COMPONENT   NI (network interface)
VERSION     40
RC          -10
MODULE      D:/depot/bas/753_REL/src/base/ni/nixxi.cpp
LINE        3449
DETAIL      NiPConnect2: 10.1.0.193:3300
SYSTEM CALL connect
ERRNO       10060
ERRNO TEXT  WSAETIMEDOUT: Connection timed out
COUNTER     2
 [MSG: class=, type=, number=, v1-4:=;;;]
2026-09-08 22:15:02,984 | WARNING  | core.orchestrator | [PRD] RFC perf collector: 1 (rc=1): key=RFC_COMMUNICATION_FAILURE, message=
LOCATION    CPIC (TCP/IP) on local host with Unicode
ERROR       partner '10.1.0.193:3300' not reached
TIME        Tue Sep  8 22:15:02 2026
RELEASE     753
COMPONENT   NI (network interface)
VERSION     40
RC          -10
MODULE      D:/depot/bas/753_REL/src/base/ni/nixxi.cpp
LINE        3449
DETAIL      NiPConnect2: 10.1.0.193:3300
SYSTEM CALL connect
ERRNO       10060
ERRNO TEXT  WSAETIMEDOUT: Connection timed out
COUNTER     2
 [MSG: class=, type=, number=, v1-4:=;;;] (retrying in 300s)
2026-09-08 22:15:02,985 | INFO     | core.orchestrator | Monitoring cycle complete for PRD/100: overall=UNKNOWN, metrics=0, errors=2
2026-09-08 22:19:25,598 | INFO     | core.orchestrator | No SSH access configured for PRD -- skipping Linux/OS-level metrics (SAP GUI evidence only).
2026-09-08 22:19:25,600 | WARNING  | core.orchestrator | [PRD] RFC collector: 1 (rc=1): key=RFC_COMMUNICATION_FAILURE, message=
LOCATION    CPIC (TCP/IP) on local host with Unicode
ERROR       partner '10.1.0.193:3300' not reached
TIME        Tue Sep  8 22:15:02 2026
RELEASE     753
COMPONENT   NI (network interface)
VERSION     40
RC          -10
MODULE      D:/depot/bas/753_REL/src/base/ni/nixxi.cpp
LINE        3449
DETAIL      NiPConnect2: 10.1.0.193:3300
SYSTEM CALL connect
ERRNO       10060
ERRNO TEXT  WSAETIMEDOUT: Connection timed out
COUNTER     2
 [MSG: class=, type=, number=, v1-4:=;;;] (retrying in 37s)
2026-09-08 22:19:25,611 | WARNING  | core.orchestrator | [PRD] RFC perf collector: 1 (rc=1): key=RFC_COMMUNICATION_FAILURE, message=
LOCATION    CPIC (TCP/IP) on local host with Unicode
ERROR       partner '10.1.0.193:3300' not reached
TIME        Tue Sep  8 22:15:02 2026
RELEASE     753
COMPONENT   NI (network interface)
VERSION     40
RC          -10
MODULE      D:/depot/bas/753_REL/src/base/ni/nixxi.cpp
LINE        3449
DETAIL      NiPConnect2: 10.1.0.193:3300
SYSTEM CALL connect
ERRNO       10060
ERRNO TEXT  WSAETIMEDOUT: Connection timed out
COUNTER     2
 [MSG: class=, type=, number=, v1-4:=;;;] (retrying in 37s)
2026-09-08 22:19:25,625 | INFO     | core.orchestrator | Monitoring cycle complete for PRD/100: overall=UNKNOWN, metrics=0, errors=2
2026-09-09 10:01:54,349 | INFO     | core.orchestrator | No SSH access configured for PRD -- skipping Linux/OS-level metrics (SAP GUI evidence only).
2026-09-09 10:01:54,407 | INFO     | core.orchestrator | [PRD] RFC collector: 17 metrics added.
2026-09-09 10:01:56,152 | INFO     | core.orchestrator | [PRD] RFC perf collector: 6 metrics added.
2026-09-09 10:01:56,155 | INFO     | core.orchestrator | Monitoring cycle complete for PRD/100: overall=CRITICAL, metrics=23, errors=0
2026-09-09 10:01:56,220 | DEBUG    | evaluation.threshold_engine | Metric 'cpu' has no numeric value -- leaving UNKNOWN.
2026-09-09 10:01:56,243 | DEBUG    | evaluation.threshold_engine | Metric 'memory' has no numeric value -- leaving UNKNOWN.
2026-09-09 10:01:56,244 | DEBUG    | evaluation.threshold_engine | Metric 'memory.total_gb' has no numeric value -- leaving UNKNOWN.
2026-09-09 10:01:56,245 | DEBUG    | evaluation.threshold_engine | Metric 'load_1m' has no numeric value -- leaving UNKNOWN.
2026-09-09 10:01:56,246 | DEBUG    | evaluation.threshold_engine | Metric 'sap.db12.last_backup' has no numeric value -- leaving UNKNOWN.
2026-09-09 10:07:30,408 | INFO     | core.orchestrator | No SSH access configured for PRD -- skipping Linux/OS-level metrics (SAP GUI evidence only).
2026-09-09 10:07:30,688 | INFO     | core.orchestrator | [PRD] RFC collector: 17 metrics added.
2026-09-09 10:07:37,057 | INFO     | core.orchestrator | [PRD] RFC perf collector: 6 metrics added.
2026-09-09 10:07:37,066 | INFO     | core.orchestrator | Monitoring cycle complete for PRD/100: overall=CRITICAL, metrics=23, errors=0
2026-09-09 10:07:37,154 | DEBUG    | evaluation.threshold_engine | Metric 'cpu' has no numeric value -- leaving UNKNOWN.
2026-09-09 10:07:37,155 | DEBUG    | evaluation.threshold_engine | Metric 'memory' has no numeric value -- leaving UNKNOWN.
2026-09-09 10:07:37,156 | DEBUG    | evaluation.threshold_engine | Metric 'memory.total_gb' has no numeric value -- leaving UNKNOWN.
2026-09-09 10:07:37,157 | DEBUG    | evaluation.threshold_engine | Metric 'load_1m' has no numeric value -- leaving UNKNOWN.
2026-09-09 10:07:37,158 | DEBUG    | evaluation.threshold_engine | Metric 'sap.db12.last_backup' has no numeric value -- leaving UNKNOWN.
2026-09-09 11:58:04,881 | INFO     | core.orchestrator | No SSH access configured for PRD -- skipping Linux/OS-level metrics (SAP GUI evidence only).
2026-09-09 11:58:04,955 | INFO     | core.orchestrator | [PRD] RFC collector: 17 metrics added.
2026-09-09 11:58:06,003 | INFO     | core.orchestrator | [PRD] RFC perf collector: 6 metrics added.
2026-09-09 11:58:06,004 | INFO     | core.orchestrator | Monitoring cycle complete for PRD/100: overall=CRITICAL, metrics=23, errors=0
2026-09-09 11:58:06,039 | DEBUG    | evaluation.threshold_engine | Metric 'cpu' has no numeric value -- leaving UNKNOWN.
2026-09-09 11:58:06,042 | DEBUG    | evaluation.threshold_engine | Metric 'memory' has no numeric value -- leaving UNKNOWN.
2026-09-09 11:58:06,043 | DEBUG    | evaluation.threshold_engine | Metric 'memory.total_gb' has no numeric value -- leaving UNKNOWN.
2026-09-09 11:58:06,043 | DEBUG    | evaluation.threshold_engine | Metric 'load_1m' has no numeric value -- leaving UNKNOWN.
2026-09-09 11:58:06,044 | DEBUG    | evaluation.threshold_engine | Metric 'sap.db12.last_backup' has no numeric value -- leaving UNKNOWN.
2026-09-09 15:58:16,496 | INFO     | core.orchestrator | No SSH access configured for PRD -- skipping Linux/OS-level metrics (SAP GUI evidence only).
2026-09-09 15:58:16,615 | INFO     | core.orchestrator | [PRD] RFC collector: 17 metrics added.
2026-09-09 15:58:17,768 | INFO     | core.orchestrator | [PRD] RFC perf collector: 9 metrics added.
2026-09-09 15:58:17,770 | INFO     | core.orchestrator | Monitoring cycle complete for PRD/100: overall=CRITICAL, metrics=26, errors=0
2026-09-09 15:58:17,811 | DEBUG    | evaluation.threshold_engine | Metric 'cpu' has no numeric value -- leaving UNKNOWN.
2026-09-09 15:58:17,814 | DEBUG    | evaluation.threshold_engine | Metric 'memory' has no numeric value -- leaving UNKNOWN.
2026-09-09 15:58:17,815 | DEBUG    | evaluation.threshold_engine | Metric 'memory.total_gb' has no numeric value -- leaving UNKNOWN.
2026-09-09 15:58:17,816 | DEBUG    | evaluation.threshold_engine | Metric 'load_1m' has no numeric value -- leaving UNKNOWN.
2026-09-09 15:58:17,816 | DEBUG    | evaluation.threshold_engine | Metric 'sap.db12.last_backup' has no numeric value -- leaving UNKNOWN.
2026-09-09 16:10:43,367 | INFO     | core.orchestrator | No SSH access configured for SARLOHA PRD -- skipping Linux/OS-level metrics (SAP GUI evidence only).
2026-09-09 16:10:43,796 | INFO     | core.orchestrator | [SARLOHA PRD] RFC collector: 6 metrics added.
2026-09-09 16:10:50,720 | INFO     | core.orchestrator | [SARLOHA PRD] RFC perf collector: 11 metrics added.
2026-09-09 16:10:50,786 | INFO     | core.orchestrator | Monitoring cycle complete for SARLOHA PRD/500: overall=CRITICAL, metrics=17, errors=0
2026-09-09 16:10:50,819 | WARNING  | core.event_engine | New CRITICAL event EVT-9051621A53: SARLOHA PRD/sap.st22.dumps=98 count
2026-09-09 16:10:50,821 | WARNING  | core.event_engine | New WARNING event EVT-17C4249DC2: SARLOHA PRD/sap.sm37.cancelled_jobs=3 count
2026-09-09 16:10:50,821 | WARNING  | core.event_engine | New CRITICAL event EVT-B128F7FC78: SARLOHA PRD/sap.sm58.stuck_entries=143 count
2026-09-09 16:10:50,822 | WARNING  | core.event_engine | New CRITICAL event EVT-C77D60B1E8: SARLOHA PRD/sap.st03.dialog_resp_ms=46266 ms
2026-09-09 16:10:50,823 | WARNING  | core.event_engine | New CRITICAL event EVT-2F03F0C52D: SARLOHA PRD/sap.st03.top_report_db_ms=5648059379 ms
2026-09-09 16:10:50,823 | WARNING  | core.event_engine | New WARNING event EVT-CAFAB9D5A4: SARLOHA PRD/sap.st03.top_user_memory_mb=1713 MB
2026-09-09 16:10:50,825 | WARNING  | core.event_engine | New CRITICAL event EVT-9E17564FAD: SARLOHA PRD/sap.st03.max_instance_resp_ms=93221 ms
2026-09-09 16:20:49,879 | INFO     | core.orchestrator | No SSH access configured for SARLOHA QAS -- skipping Linux/OS-level metrics (SAP GUI evidence only).
2026-09-09 16:20:50,722 | INFO     | core.orchestrator | [SARLOHA QAS] RFC collector: 6 metrics added.
2026-09-09 16:20:56,629 | INFO     | core.orchestrator | [SARLOHA QAS] RFC perf collector: 9 metrics added.
2026-09-09 16:20:56,630 | INFO     | core.orchestrator | Monitoring cycle complete for SARLOHA QAS/500: overall=NORMAL, metrics=15, errors=0
2026-09-09 16:23:17,048 | INFO     | core.orchestrator | No SSH access configured for SARLOHA QAS -- skipping Linux/OS-level metrics (SAP GUI evidence only).
2026-09-09 16:23:17,374 | INFO     | core.orchestrator | [SARLOHA QAS] RFC collector: 6 metrics added.
2026-09-09 16:23:21,454 | INFO     | core.orchestrator | [SARLOHA QAS] RFC perf collector: 9 metrics added.
2026-09-09 16:23:21,457 | INFO     | core.orchestrator | Monitoring cycle complete for SARLOHA QAS/500: overall=WARNING, metrics=15, errors=0
2026-09-09 16:53:53,962 | INFO     | core.orchestrator | No SSH access configured for SARLOHA QAS -- skipping Linux/OS-level metrics (SAP GUI evidence only).
2026-09-09 16:53:54,812 | INFO     | core.orchestrator | [SARLOHA QAS] RFC collector: 6 metrics added.
2026-09-09 16:54:05,650 | INFO     | core.orchestrator | [SARLOHA QAS] RFC perf collector: 9 metrics added.
2026-09-09 16:54:05,651 | INFO     | core.orchestrator | Monitoring cycle complete for SARLOHA QAS/500: overall=WARNING, metrics=15, errors=0
2026-09-09 17:19:08,201 | INFO     | core.orchestrator | No SSH access configured for PRD -- skipping Linux/OS-level metrics (SAP GUI evidence only).
2026-09-09 17:19:08,601 | INFO     | core.orchestrator | [PRD] RFC collector: 17 metrics added.
2026-09-09 17:19:14,741 | INFO     | core.orchestrator | [PRD] RFC perf collector: 9 metrics added.
2026-09-09 17:19:14,743 | INFO     | core.orchestrator | Monitoring cycle complete for PRD/100: overall=CRITICAL, metrics=26, errors=0
2026-09-09 17:21:39,507 | DEBUG    | evaluation.threshold_engine | Metric 'cpu' has no numeric value -- leaving UNKNOWN.
2026-09-09 17:21:39,508 | DEBUG    | evaluation.threshold_engine | Metric 'memory' has no numeric value -- leaving UNKNOWN.
2026-09-09 17:21:39,509 | DEBUG    | evaluation.threshold_engine | Metric 'memory.total_gb' has no numeric value -- leaving UNKNOWN.
2026-09-09 17:21:39,509 | DEBUG    | evaluation.threshold_engine | Metric 'load_1m' has no numeric value -- leaving UNKNOWN.
2026-09-09 17:21:39,510 | DEBUG    | evaluation.threshold_engine | Metric 'sap.db12.last_backup' has no numeric value -- leaving UNKNOWN.
2026-09-09 17:21:39,513 | DEBUG    | evaluation.threshold_engine | No threshold configured for metric 'sap.al08.backend_sessions' (key='sap.al08.backend_sessions') -- leaving UNKNOWN.
2026-09-09 17:21:39,514 | DEBUG    | evaluation.threshold_engine | No threshold configured for metric 'sap.al08.user_logons' (key='sap.al08.user_logons') -- leaving UNKNOWN.
